的	〔白勹丶丶_rqyy〕
酷	〔西一⺧口_sgek〕
衰	〔一𧘇⺀_ygeu〕
棚	〔木月月一_seeg〕
壤	〔土亠口𧘇_fyke〕
苯	〔艹木一二_asgf〕
伪	〔亻为丶_woy〕
轰	〔车又又⺀_lccu〕
侨	〔亻丿大_wtdj〕
牵	〔大冖牛〢_dprj〕
鼻	〔丿目田丌_thla〕
叹	〔口又丶_kcy〕
骂	〔口口马二_kkcf〕
骤	〔马耳又乑_cbci〕
丧	〔土丷⺀_fueu〕
旺	〔日王一_jgg〕
哩	〔口日土一_kjfg〕
隙	〔阝小日小_biji〕
曹	〔一冂龷日_gmaj〕
疾	〔疒𠂉大氵_utdi〕
吐	〔口土一_kfg〕
册	〔冂冂一三_mmgd〕
覆	〔覀彳𠂉夂_sttt〕
晋	〔一业日二_gojf〕
扑	〔扌卜丶_rhy〕
御	〔彳止卩_trhb〕
搜	〔扌臼丨又_rehc〕
仗	〔亻一乂丶_wgry〕
昨	〔日𠂉丨二_jthf〕
舒	〔古予丨_wdch〕
株	〔木小丶_sriy〕
嘛	〔口广木丶_kosy〕
欣	〔斤⺈人丶_rqwy〕
胀	〔月丿丶_etay〕
砂	〔石少丿_dit〕
腔	〔月工一_epag〕
偷	〔亻刖丨_wweh〕
络	〔纟夂口一_xtkg〕
顽	〔二儿丆贝_fqdm〕
涨	〔氵弓丿丶_ixty〕
甜	〔丿古卄二_tdaf〕
吊	〔口冂丨〢_kmhj〕
盗	〔冫⺈人皿_uqwl〕
杭	〔木亠几𡿨_sywn〕
尸	〔丿彡_nte〕
捉	〔扌足丶_rly〕
毅	〔立𧰨几又_uewc〕
迈	〔一勹辶彡_gqpe〕
脏	〔月广土一_eofg〕
狱	〔犭讠犬丶_eydy〕
搭	〔扌艹口_rawk〕
飘	〔覀二小乂_sfir〕
炎	〔火火⺀_oou〕
瘦	〔疒臼丨又_uehc〕
浸	〔氵彐冖又_ivpc〕
硅	〔石土土一_dffg〕
跨	〔𧾷大二ㄅ_ldfn〕
浇	〔氵𫠠丿兀_iatg〕
粘	〔米⺊口一_ohkg〕
雅	〔𡕒丿亻_atwy〕
昆	〔日匕巜_jxxb〕
槽	〔木一冂日_sgmj〕
漆	〔氵木人氺_iswi〕
抑	〔扌卩丨_rqbh〕
悄	〔忄⺌月一_nieg〕
蓄	〔艹亠幺田_ayxl〕
锦	〔钅白冂丨_qrmh〕
歪	〔丆卜一止_dhgh〕
贷	〔亻弋贝⺀_wamu〕
烦	〔火丆贝丶_odmy〕
撒	〔扌龷月攵_raet〕
沸	〔氵弓丨_ixjh〕
闲	〔门木氵_usi〕
亭	〔冖丁〢_ypsj〕
肚	〔月土一_efg〕
掘	〔扌尸凵山_rnbm〕
邀	〔敫攵辶氵_rtpi〕
郎	〔丶艮阝丨_yvbh〕
浩	〔氵⺧口一_iekg〕
燕	〔廿口灬_akuo〕
漂	〔氵覀二小_isfi〕
惩	〔忄一止心_nghn〕
妥	〔爫女二_evf〕
傅	〔亻甫寸丶_wsfy〕
牺	〔牜西一_tsg〕
贪	〔人𪜊贝⺀_wnmu〕
迁	〔丿十辶〣_tfpk〕
渠	〔氵匚木_ians〕
丢	〔丿土厶⺀_tfcu〕
鸭	〔甲鸟一_lqg〕
绒	〔纟戈𠂇丶_xady〕
钉	〔钅丁丨_qsh〕
滩	〔氵又亻_icwy〕
帐	〔冂丨丿丶_mhty〕
硝	〔石⺌月一_dieg〕
耀	〔⺌兀羽_igny〕
膨	〔月士豆彡_efle〕
邮	〔冂土阝丨_mfbh〕
贤	〔〢又贝⺀_jcmu〕
誉	〔八言二_iwyf〕
瓷	〔冫⺈人瓦_uqwg〕
欺	〔八⺈人_dwqw〕
丛	〔人人一二_wwgf〕
抹	〔扌一木丶_rgsy〕
忧	〔忄𠂇乚丶_ndny〕
陪	〔阝立口一_bukg〕
吾	〔五口二_gkf〕
劣	〔少力𰀪_ier〕
惠	〔一日丨心_gjhn〕
钾	〔钅甲丨_qlh〕
焰	〔火⺈臼一_oqeg〕
徽	〔彳幺攵_tmxt〕
堡	〔亻口木土_wksf〕
凶	〔乂凵〣_rbk〕
摘	〔扌冂古_rumd〕
闷	〔门心氵_uni〕
脆	〔月⺈厂⺋_eqdb〕
姚	〔女儿丶_vqiy〕
雕	〔⺆土口_mfky〕
陵	〔阝土八夂_bfwt〕
董	〔艹丿一土_atgf〕
诺	〔讠艹𠂇口_yadk〕
泵	〔石水⺀_diu〕
赴	〔走卜氵_hhi〕
剑	〔刂丨_wijh〕
腊	〔月龷日一_eajg〕
窝	〔口冂人_pkmw〕
卢	〔⺊尸𰀪_hnr〕
锻	〔钅亻三又_qwdc〕
罐	〔山艹_rmay〕
览	〔〢冂_jtmq〕
宴	〔宀日女二_pjvf〕
昏	〔𫠠日二_qajf〕
溪	〔氵爫幺大_iexd〕
疯	〔疒几乂氵_uwri〕
逮	〔彐⺢辶氵_vipi〕
裕	〔衤八人口_pwwk〕
盈	〔乃又皿二_bclf〕
勘	〔八ㄥ力_dwne〕
缴	〔纟敫攵丶_xrty〕
穆	〔禾白小彡_trie〕
幻	〔幺𠃌𡿨_xnn〕
锥	〔钅亻一_qwyg〕
坑	〔土亠几𡿨_fywn〕
宿	〔宀亻丆日_pwdj〕
泼	〔氵又丶_incy〕
湘	〔氵木目一_ishg〕
垄	〔𠂇𠤎土二_dxff〕
饰	〔饣𠂉冂丨_ttmh〕
驶	〔马口乂丶_ckry〕
煮	〔耂日灬⺀_fjou〕
刮	〔丿古刂丨_tdjh〕
砍	〔石⺈人丶_dqwy〕
疏	〔乛止亠_nhyk〕
旱	〔日二丨〢_jfhj〕
慌	〔忄艹亠_nayk〕
渗	〔氵厶大彡_icde〕
戈	〔一丶氵_gxyi〕
汪	〔氵王一_igg〕
悟	〔忄五口一_ngkg〕
昂	〔日卩〢_jqbj〕
桶	〔木龴用丨_sceh〕
颇	〔皮丆贝丶_bdmy〕
骑	〔马大丁口_cdsk〕
佳	〔亻土土一_wffg〕
霍	〔雨亻二_fwyf〕
旨	〔匕日二_xjf〕
芯	〔艹心⺀_anu〕
畅	〔日丨𠄎𰀪_jhbr〕
旬	〔勹日三_qjd〕
摊	〔扌又亻_rcwy〕
墙	〔土土丷口_ffuk〕
敲	〔冂口又_ymkc〕
蔬	〔艹乛止_anhk〕
痕	〔疒艮氵_uvi〕
惨	〔忄厶大彡_ncde〕
钙	〔钅一⺊ㄅ_qghn〕
尝	〔二厶⺀_ifcu〕
棱	〔木土八夂_sfwt〕
辨	〔丶丿辛_uytu〕
箭	〔𥫗䒑刖〢_tuej〕
躺	〔身⺌冂口_rimk〕
苍	〔艹人⺋巜_awbb〕
莱	〔艹一米⺀_agou〕
债	〔亻龶贝丶_wgmy〕
吞	〔一大口二_gdkf〕
坝	〔土贝丶_fmy〕
卿	〔卩丿卩_btvb〕
挡	〔扌⺌彐一_rivg〕
柏	〔木白一_srg〕
萧	〔艹彐𡭔_avij〕
颠	〔十八贝_fhwm〕
霉	〔雨𠂉母⺀_ftxu〕
谊	〔讠宀月一_ypeg〕
妨	〔女方丿_vyt〕
黏	〔禾人氺口_twik〕
漠	〔氵艹日大_iajd〕
辆	〔一冂人_lgmw〕
郊	〔六乂阝丨_urbh〕
俩	〔亻一冂人_wgmw〕
彭	〔士豆彡丿_flet〕
夕	〔夕丿㇇丶_qtny〕
凌	〔冫土八夂_ufwt〕
宏	〔宀𠂇厶⺀_pdcu〕
逻	〔罒夕辶氵_lqpi〕
淮	〔氵亻一_iwyg〕
饥	〔饣几𡿨_twn〕
熊	〔厶月匕灬_cexo〕
绅	〔纟日丨丨_xjhh〕
霞	〔雨丨又_fnhc〕
冶	〔冫厶口一_uckg〕
垫	〔扌丸土二_rvff〕
蓬	〔艹夂丰辶_atdp〕
冯	〔冫马一_ucg〕
喂	〔口田丶_kley〕
瞧	〔目亻灬_hwyo〕
玄	〔亠幺⺀_yxu〕
岂	〔山己巜_mnb〕
叠	〔又又冖一_ccpg〕
葡	〔艹勹甫⺀_aqsu〕
哀	〔𧘇⺀_yeu〕
仙	〔亻山丨_wmh〕
吓	〔口一卜丶_kghy〕
棋	〔木八丶_sdwy〕
滨	〔氵宀八_iprw〕
丘	〔一三_rgd〕
佩	〔亻几一丨_wwgh〕
寺	〔土寸⺀_ffu〕
犹	〔犭𠂇乚丶_edny〕
禄	〔礻彐氺丶_pviy〕
驰	〔马也𡿨_cbn〕
莲	〔艹车辶⺀_alpu〕
匹	〔匚儿巛_aqv〕
徙	〔彳止龰丶_thhy〕
诬	〔讠工人人_yaww〕
拾	〔扌口一_rwkg〕
枯	〔木古一_sdg〕
浑	〔氵冖车丨_iplh〕
颂	〔八厶丆贝_wcdm〕
驳	〔马乂乂丶_crry〕
慰	〔尸二小心_nfin〕
诱	〔讠禾乃丿_ytbt〕
勿	〔勹𰀪彡_qre〕
邰	〔厶口阝丨_ckbh〕
歇	〔日勹人人_jqww〕
阁	〔门夂口三_utkd〕
嘉	〔士豆力口_flek〕
沫	〔氵一木丶_igsy〕
拳	〔龹手〢_urj〕
饼	〔饣䒑廾丨_tuah〕
戚	〔戊上小丶_dhiy〕
皱	〔⺈彐皮丶_qvby〕
掠	〔扌小丶_ryiy〕
塘	〔土广彐口_fovk〕
仇	〔亻九𡿨_wvn〕
锭	〔钅宀一龰_qpgh〕
竭	〔立日勹ㄥ_ujqn〕
娃	〔女土土一_vffg〕
冤	〔冖⺈口丶_pqky〕
凸	〔丨一冂一_hgmg〕
拆	〔扌斤丶丶_rryy〕
曰	〔曰丨𠃍一_jhng〕
掀	〔扌斤⺈人_rrqw〕
朴	〔木卜丶_shy〕
摧	〔扌山亻_rmwy〕
溜	〔氵刀田_iqvl〕
卸	〔止卩丨_rhbh〕
堵	〔土耂日一_ffjg〕
筛	〔𥫗一丨_tjgh〕
疲	〔疒皮氵_ubi〕
栽	〔十戈木氵_fasi〕
胎	〔月厶口一_eckg〕
腹	〔月𠂉日夂_etjt〕
驾	〔力口马二_ekcf〕
纬	〔纟韦丨_xhh〕
扯	〔扌止一_rhg〕
颁	〔八刀丆贝_wvdm〕
饿	〔饣我丶_tqy〕
悠	〔亻丨攵心_whtn〕
祸	〔礻口冂人_pkmw〕
慧	〔丰丰彐心_ddvn〕
舰	〔丿冂_tumq〕
姿	〔冫⺈人女_uqwv〕
恋	〔亠心⺀_yonu〕
遂	〔䒑𧰨辶氵_uepi〕
卧	〔匚臣卜丶_ahhy〕
怨	〔夕⺋心⺀_qbnu〕
醉	〔西一亠十_sgyf〕
廉	〔广䒑氵_ouvi〕
遣	〔丨㠯辶_khnp〕
狭	〔犭一丷大_egud〕
菲	〔艹丨三二_ahdf〕
犁	〔禾刂牛〢_tjrj〕
侯	〔亻𠂉大_wntd〕
羽	〔𠃌冫𠃌冫_nunu〕
姻	〔女囗大一_vldg〕
抖	〔扌⺀十丨_rufh〕
契	〔丰刀大⺀_dvdu〕
萄	〔艹勹山_aqrm〕
阐	〔门丷〣_uulk〕
盲	〔亠ㄥ目二_ynhf〕
躲	〔身几木丶_rwsy〕
韦	〔二𠃌丨〣_fnhk〕
谐	〔讠匕白_yxxr〕
兆	〔儿氵_qii〕
舌	〔丿古三_tdd〕
佐	〔亻𠂇工一_wdag〕
屏	〔尸䒑廾〣_nuak〕
妄	〔亠㇄女二_ynvf〕
肠	〔月𠄎𰀪丿_ebrt〕
酵	〔西一耂子_sgfb〕
墓	〔艹日大土_ajdf〕
恒	〔忄一日一_ngjg〕
缸	〔山工一_rmag〕
柄	〔木一冂人_sgmw〕
敦	〔子攵丶_ybty〕
慎	〔忄十八_nfhw〕
堤	〔土日一龰_fjgh〕
逝	〔扌斤辶〣_rrpk〕
贼	〔贝戈𠂇丶_mady〕
辖	〔宀丰口_lpdk〕
魂	〔二厶白厶_fcrc〕
押	〔扌甲丨_rlh〕
栏	〔木丷三一_sudg〕
祟	〔凵山二小_bmfi〕
肖	〔⺌月二_ief〕
茅	〔艹矛𰀪_acr〕
捷	〔扌一彐龰_rgvh〕
捞	〔扌艹冖力_rape〕
艳	〔丰⺈巴𡿨_dqcn〕
蜂	〔虫夂丰丨_jtdh〕
逢	〔夂丰辶〣_tdpk〕
罩	〔罒⺊早〢_lhjj〕
档	〔木⺌彐一_sivg〕
兽	〔丷田一口_ulgk〕
辱	〔辰寸⺀_defu〕
搅	〔扌𰃮冂_rimq〕
臭	〔丿目犬⺀_thdu〕
蔽	〔艹㡀攵⺀_aitu〕
铃	〔钅人丶_qwpy〕
乔	〔丿大〢_tdjj〕
雇	〔户亻三_owyd〕
挽	〔扌⺈口_rqkq〕
芬	〔艹八刀𰀪_awvr〕
砌	〔石刀丿_davt〕
拌	〔扌半丨_ruh〕
翠	〔羽亠人十_nywf〕
醇	〔西一子_sgyb〕
弥	〔弓⺈小丶_xqiy〕
嫂	〔女臼丨又_vehc〕
粹	〔米亠人十_oywf〕
披	〔扌皮丶_rby〕
狼	〔犭丶艮丶_eyvy〕
窄	〔𠂉丨二_pthf〕
柜	〔木匚𡿨_sann〕
淋	〔氵木木丶_issy〕
晴	〔日龶月一_jgeg〕
拘	〔扌勹口一_rqkg〕
寂	〔宀上小又_phic〕
滋	〔氵䒑幺丶_iuxy〕
鸦	〔𡕒丿鸟一_atqg〕
誓	〔扌斤言二_rryf〕
咸	〔戊一口丶_dgky〕
茫	〔艹氵亠ㄥ_aiyn〕
凑	〔冫三人大_udwd〕
芝	〔艹之⺀_apu〕
餐	〔⺊夕又艮_hqcv〕
账	〔贝丿丶_mtay〕
幽	〔山幺幺氵_mxxi〕
殿	〔尸龷八又_nawc〕
盒	〔口皿二_wklf〕
篡	〔𥫗目大厶_thdc〕
萌	〔艹日月二_ajef〕
挣	〔扌⺈彐亅_rqvh〕
畏	〔田⺀_leu〕
遥	〔爫山辶_ermp〕
颤	〔亠囗口贝_ylkm〕
酬	〔西一州丨_sgih〕
奸	〔女二丨丨_vfhh〕
厌	〔厂犬氵_ddi〕
洒	〔氵西一_isg〕
垦	〔艮土二_vff〕
赔	〔贝立口一_mukg〕
挨	〔扌厶𠂉大_rctd〕
抄	〔扌少丿_rit〕
缔	〔纟冖丨_xuph〕
峡	〔山一丷大_mgud〕
芦	〔艹户𰀪_aor〕
倘	〔亻⺌冂口_wimk〕
坯	〔土丆卜一_fdhg〕
履	〔尸彳𠂉夂_nttt〕
巾	〔冂丨〣_mhk〕
宙	〔宀冂土二_pmff〕
劫	〔土厶力丿_fcet〕
酿	〔西一丶艮_sgyv〕
矣	〔厶𠂉大⺀_ctdu〕
闯	〔门马三_ucd〕
晃	〔日⺌兀巜_jigb〕
帜	〔冂丨口八_mhkw〕
捐	〔扌口月一_rkeg〕
矮	〔𠂉大禾女_tdtv〕
澳	〔氵丿冂大_itmd〕
愁	〔禾火心⺀_tonu〕
窃	〔刀𰀪_pavr〕
烘	〔火龷八丶_oawy〕
昭	〔日刀口一_jvkg〕
奈	〔大二小⺀_dfiu〕
滥	〔氵〢皿_ijtl〕
戒	〔戈廾氵_aai〕
丑	〔𠃍土三_nfd〕
蔡	〔艹二小_awfi〕
遮	〔广廿灬辶_oaop〕
肺	〔月一冂丨_egmh〕
喀	〔口宀夂口_kptk〕
膀	〔月冖方_eupy〕
夸	〔大二ㄅ巜_dfnb〕
馏	〔饣刀田_tqvl〕
俱	〔亻八丶_whwy〕
澄	〔氵癶一豆_iwgl〕
窑	〔山〢_prmj〕
稼	〔禾宀一𧰨_tpge〕
仆	〔亻卜丶_why〕
壶	〔士冖业二_fpof〕
蔑	〔艹罒戊丶_aldy〕
裤	〔衤广车丨_polh〕
渣	〔氵木日一_isjg〕
姜	〔丷王女二_ugvf〕
媳	〔女丿目心_vthn〕
爽	〔大乂乂乂_drrr〕
岌	〔山乃丶⺀_mbyu〕
绵	〔纟白冂丨_xrmh〕
纶	〔纟人匕𡿨_xwxn〕
饶	〔饣𫠠丿兀_tatg〕
竖	〔〢又立二_jcuf〕
椅	〔木大丁口_sdsk〕
捧	〔扌三人𰀁_rdwg〕
吕	〔口口二_kkf〕
纽	〔纟𠃍土一_xnfg〕
拚	〔扌厶廾丨_rcah〕
殷	〔𠂆彐𠃌又_rvnc〕
鼠	〔臼巜_enb〕
卑	〔十〢_rfj〕
涛	〔氵寸丶_idfy〕
郁	〔𠂇月阝丨_debh〕
汁	〔氵十丨_ifh〕
闽	〔门虫氵_uji〕
焊	〔火日二丨_ojfh〕
孝	〔耂子二_fbf〕
颈	〔工丆贝_cadm〕
茂	〔艹戊丶⺀_adyu〕
舆	〔车一八_elgw〕
唤	〔口⺈冂大_kqmd〕
肌	〔月几𡿨_ewn〕
址	〔土止一_fhg〕
掏	〔扌勹山_rqrm〕
伞	〔人丷十〢_wufj〕
鞭	〔廿亻乂_akwr〕
缚	〔纟甫寸丶_xsfy〕
撑	〔扌口手_rikr〕
杠	〔木工一_sag〕
鼎	〔目巜_hunb〕
谴	〔讠丨辶_ykhp〕
涤	〔氵夂木丶_itsy〕
询	〔讠勹日一_yqjg〕
哨	〔口⺌月一_kieg〕
帅	〔冂丨丨_jmhh〕
宅	〔宀丿七巜_ptab〕
堪	〔土八ㄥ_fdwn〕
韧	〔韦刀丶丶_hvyy〕
拦	〔扌丷三一_rudg〕
眠	〔目𫠠𡿨_hnan〕
麟	〔匕米丨_oxoh〕
碑	〔石十丨_drfh〕
缠	〔纟广日土_xojf〕
巷	〔龷八巳巜_awnb〕
趁	〔走人彡彡_hwee〕
秧	〔禾冂大丶_tmdy〕
猜	〔犭龶月一_egeg〕
欠	〔⺈人⺀_qwu〕
坛	〔土二厶丶_ffcy〕
茎	〔艹工二_acaf〕
晒	〔日西一_jsg〕
榜	〔木冖方_supy〕
炳	〔火一冂人_ogmw〕
挫	〔扌人人土_rwwf〕
跌	〔𧾷人丶_lrwy〕
糟	〔米一冂日_ogmj〕
攀	〔木乂乂手_srrr〕
酯	〔西一匕日_sgxj〕
慨	〔忄匸_nvaq〕
携	〔扌亻乃_rwyb〕
鄂	〔口口二阝_kkfb〕
氛	〔⺄八刀_rnwv〕
霜	〔雨木目二_fshf〕
棍	〔木日匕_sjxx〕
锤	〔钅丿十一_qtfg〕
沾	〔氵⺊口一_ihkg〕
侍	〔亻土寸丶_wffy〕
斑	〔王文王一_gygg〕
豫	〔予⺈口𧰨_cqke〕
辊	〔日匕_ljxx〕
崩	〔山月月二_meef〕
萍	〔艹氵一十_aigf〕
儒	〔亻雨丆𦉫_wfdm〕
蓉	〔艹人口_apwk〕
谬	〔讠羽人彡_ynwe〕
惟	〔忄亻一_nwyg〕
浊	〔氵虫丶_ijy〕
吵	〔口少丿_kit〕
揉	〔扌矛木丶_rcsy〕
蛮	〔亠虫⺀_yoju〕
瞬	〔目爫冖丨_heph〕
叉	〔又丶氵_cyi〕
缆	〔纟〢_xjtq〕
荐	〔艹𠂇丨子_adhb〕
哎	〔口艹乂丶_kary〕
溉	〔氵匸_ivaq〕
悦	〔忄丷口儿_nukq〕
朽	〔木一ㄅ𡿨_sgnn〕
赠	〔贝丷日_mulj〕
郡	〔尹口阝丨_vkbh〕
踪	〔𧾷宀二小_lpfi〕
泄	〔氵廿ㄥ𡿨_iann〕
疼	〔疒夂⺀氵_utui〕
剖	〔立口刂丨_ukjh〕
苹	〔艹一丷十_aguf〕
锌	〔钅辛丨_quh〕
耶	〔耳阝丨_bbh〕
妃	〔女己𡿨_vnn〕
迪	〔冂土辶三_mfpd〕
孳	〔䒑幺子二_uxbf〕
睁	〔目⺈彐亅_hqvh〕
亥	〔亠亥⺀_ynu〕
弊	〔㡀攵廾〢_itaj〕
匠	〔匚斤〣_ark〕
桐	〔木冂一口_smgk〕
嫌	〔女䒑丶_vuvy〕
岳	〔一山〢_rgmj〕
乾	〔十早𠂉乚_fjtn〕
酚	〔西一八刀_sgwv〕
穴	〔宀八⺀_pwu〕
嫁	〔女宀一𧰨_vpge〕
烤	〔火耂一ㄅ_ofgn〕
玲	〔王人丶_gwpy〕
捣	〔扌山丨_rqmh〕
甫	〔一月丨丶_gehy〕
邵	〔刀口阝丨_vkbh〕
潭	〔氵覀早丨_isjh〕
慕	〔艹日大⺗_ajdi〕
炒	〔火少丿_oit〕
浒	〔氵讠𠂉十_iytf〕
畴	〔田寸丶_ldfy〕
匪	〔匚丨三三_ahdd〕
撕	〔扌八斤_rdwr〕
嚷	〔口亠口𧘇_kyke〕
溢	〔氵䒑八皿_iuwl〕
顷	〔丆贝丶_xdmy〕
聪	〔耳丷口心_bukn〕
翁	〔八厶羽二_wcnf〕
沃	〔氵丿大丶_itdy〕
谦	〔讠䒑丶_yuvy〕
晰	〔日木斤丨_jsrh〕
甸	〔勹田三_qld〕
歧	〔止十又丶_hfcy〕
诊	〔讠人彡丿_ywet〕
祁	〔礻阝丨_pbh〕
咨	〔冫⺈人口_uqwk〕
潘	〔氵釆田一_iolg〕
谭	〔讠覀早丨_ysjh〕
礁	〔石亻灬_dwyo〕
弓	〔弓𠃍一ㄅ_xngn〕
屠	〔尸耂日三_nfjd〕
酶	〔西一𠂉母_sgtx〕
枢	〔木匚乂𡿨_sarn〕
吟	〔口人𪜊𡿨_kwnn〕
喉	〔口亻大_kwnd〕
浴	〔氵八人口_iwwk〕
颖	〔匕禾丆贝_xtdm〕
症	〔疒一止三_ughd〕
衬	〔衤寸丶_pfy〕
溃	〔氵贝丶_ikmy〕
崖	〔山厂土土_mdff〕
勉	〔⺈口力_qkqe〕
卓	〔⺊早〢_hjj〕
琼	〔王小丶_gyiy〕
迭	〔人辶氵_rwpi〕
婴	〔贝贝女二_mmvf〕
沪	〔氵户丿_iot〕
氟	〔⺄弓_rnxj〕
绞	〔纟六乂丶_xury〕
挪	〔扌𠃌阝_rngb〕
辣	〔木口丶_usky〕
仑	〔人匕巜_wxb〕
庞	〔广𠂇𠤎氵_odxi〕
诞	〔讠丿止廴_ythp〕
吁	〔口一十丨_kgfh〕
醋	〔西一龷日_sgaj〕
浦	〔氵甫丶_isy〕
菱	〔艹土八夂_afwt〕
耻	〔耳止一_bhg〕
俘	〔亻爫子一_webg〕
谣	〔讠爫山_yerm〕
篮	〔𥫗〢皿_tjtl〕
廊	〔广丶阝_oyvb〕
惧	〔忄八丶_nhwy〕
蹲	〔𧾷丷酉寸_lusf〕
盼	〔目八刀丿_hwvt〕
赐	〔贝日勹𰀪_mjqr〕
挠	〔扌𫠠丿兀_ratg〕
陡	〔阝土龰丶_bfhy〕
棵	〔木日木丶_sjsy〕
翅	〔十又羽三_fcnd〕
峻	〔山厶八夂_mcwt〕
俺	〔亻大日乚_wdjn〕
厨	〔厂一豆寸_dglf〕
翔	〔䒑羽一_ugng〕
赢	〔吂月贝丶_yemy〕
愚	〔日⽱心⺀_jmnu〕
拓	〔扌丆口一_rdkg〕
惑	〔戈口㇀心_akgn〕
绸	〔纟⺆土口_xmfk〕
杏	〔木口二_skf〕
咽	〔口囗大一_kldg〕
扮	〔扌八刀丿_rwvt〕
蒲	〔艹氵甫⺀_aisu〕
绣	〔纟禾乃丿_xtbt〕
唉	〔口厶𠂉大_kctd〕
梳	〔木亠厶_syck〕
逸	〔⺈口辶_qkqp〕
菊	〔艹勹米⺀_aqou〕
艾	〔艹乂⺀_aru〕
铲	〔钅产丿_qut〕
膏	〔冖口月_ypke〕
羞	〔䒑𠃍土_ugnf〕
葛	〔艹日勹ㄥ_ajqn〕
骄	〔马丿大_ctdj〕
悼	〔忄⺊早丨_nhjh〕
庸	〔广彐月丨_oveh〕
蒂	〔艹冖丨_auph〕
宰	〔宀辛〢_puj〕
渴	〔氵日勹ㄥ_ijqn〕
肆	〔镸彐𰀁丨_dvgh〕
魔	〔广木白厶_osrc〕
榨	〔木𠂉二_sptf〕
蔗	〔艹广廿灬_aoao〕
秆	〔禾二丨丨_tfhh〕
鹏	〔月月鸟一_eeqg〕
灶	〔火土一_ofg〕
肤	〔月二人丶_efwy〕
怜	〔忄人丶_nwpy〕
捻	〔扌人𪜊心_rwnn〕
俊	〔亻厶八夂_wcwt〕
恼	〔忄亠乂凵_nyrb〕
滞	〔氵冖丨_igph〕
凹	〔丨㇅冂一_hnmg〕
倚	〔亻大丁口_wdsk〕
祭	〔二小⺀_wfiu〕
葬	〔艹一夕廾_agqa〕
拢	〔扌𠂇𠤎丶_rdxy〕
慈	〔䒑幺心⺀_uxnu〕
砸	〔石匚冂丨_damh〕
衍	〔彳氵一丁_tigs〕
嗓	〔口又又木_kccs〕
凿	〔业䒑十凵_oufb〕
唇	〔辰口二_dekf〕
尿	〔尸水氵_nii〕
衫	〔衤彡丿_pet〕
衔	〔彳钅一丁_tqgs〕
拐	〔扌口力丿_rket〕
脾	〔月十丨_erfh〕
锯	〔钅尸古一_qndg〕
傲	〔亻攵丶_wgty〕
萝	〔艹罒夕⺀_alqu〕
猎	〔犭龷日一_eajg〕
夷	〔一弓人氵_gxwi〕
贞	〔⺊贝⺀_hmu〕
昙	〔日二厶⺀_jfcu〕
罕	〔㓁二丨〢_pfhj〕
厦	〔厂丆目夂_ddht〕
愉	〔忄刖丨_nweh〕
扔	〔扌乃丿_rbt〕
邪	〔𡕒丿阝丨_atbh〕
坊	〔土方丿_fyt〕
媒	〔女卄二木_vafs〕
脊	〔人月二_iwef〕
蕴	〔艹纟日皿_axjl〕
呖	〔口厂力丿_kdet〕
芒	〔艹亠ㄥ巜_aynb〕
烫	〔氵𠄎𰀪火_ibro〕
恳	〔艮心⺀_vnu〕
哇	〔口土土一_kffg〕
蛇	〔虫宀匕𡿨_jpxn〕
诏	〔讠刀口一_yvkg〕
昼	〔尸丶日一_nyjg〕
铭	〔钅夕口一_qqkg〕
镁	〔钅丷王大_qugd〕
帕	〔冂丨白一_mhrg〕
冈	〔冂乂氵_mri〕
胖	〔月半丨_euh〕
刨	〔勹巳刂丨_qnjh〕
枚	〔木攵丶_sty〕
寓	〔宀日⽱⺀_pjmu〕
荫	〔艹阝月二_abef〕
辰	〔辰氵_dei〕
贩	〔贝𠂆又丶_mrcy〕
娓	〔女尸毛𡿨_vnen〕
猫	〔犭艹田一_ealg〕
笛	〔𥫗冂土二_tmff〕
盯	〔目丁丨_hsh〕
锈	〔钅禾乃丿_qtbt〕
贾	〔覀贝⺀_smu〕
藤	〔艹月龹氺_aeui〕
楔	〔木丰刀大_sdvd〕
衷	〔丨𧘇⺀_yheu〕
僵	〔亻一田一_wglg〕
斩	〔斤丨_lrh〕
扁	〔户𠕁〣_omk〕
谕	〔讠刖丨_yweh〕
淑	〔氵上小又_ihic〕
厢	〔厂木目三_dshd〕
甩	〔月乚巛_env〕
蚕	〔一大虫⺀_gdju〕
禽	〔人亠乂厶_wyrc〕
匆	〔勹𰀪丶氵_qryi〕
捏	〔扌日土一_rjfg〕
瞎	〔目宀丰口_hpdk〕
忌	〔己心⺀_nnu〕
孕	〔乃子二_bbf〕
荆	〔艹一廾刂_agaj〕
俭	〔亻一_wwig〕
肝	〔月二丨丨_efhh〕
钦	〔钅⺈人丶_qqwy〕
缅	〔纟丆囬一_xdlg〕
熄	〔火丿目心_othn〕
屑	〔尸⺌月三_nied〕
裸	〔衤日木丶_pjsy〕
葱	〔艹勹𰀪心_aqrn〕
垒	〔厶厶土二_ccff〕
铀	〔钅冂土一_qmfg〕
淘	〔氵勹山_iqrm〕
摔	〔扌亠幺十_ryxf〕
暑	〔日耂日二_jfjf〕
哼	〔口了丨_kybh〕
勋	〔口贝力丿_kmet〕
悔	〔忄𠂉母丶_ntxy〕
钞	〔钅少丿_qit〕
垮	〔土大二ㄅ_fdfn〕
婶	〔女宀日丨_vpjh〕
嘱	〔口尸丿⽱_kntm〕
鹿	〔匕匕巛_oxxv〕
胺	〔月宀女一_epvg〕
捆	〔扌囗木一_rlsg〕
